location_x,location_y,body_part,outcome,shot_type
108.1,40.1,Right Foot,Goal,Penalty
108.0,40.0,Left Foot,Goal,Penalty
104.7,23.7,Right Foot,Post,Open Play
113.5,22.0,Left Foot,Saved,Open Play
110.5,45.1,Left Foot,Off T,Open Play
92.2,37.2,Right Foot,Off T,Open Play
100.6,37.9,Left Foot,Saved,Open Play
105.7,42.3,Left Foot,Off T,Open Play
113.6,49.6,Right Foot,Blocked,Open Play
110.5,26.2,Right Foot,Wayward,Open Play
92.4,40.8,Left Foot,Saved,Open Play
89.0,38.1,Right Foot,Saved,Open Play
112.2,49.0,Left Foot,Saved,Open Play
100.0,52.0,Right Foot,Blocked,Open Play
112.1,39.8,Head,Off T,Open Play
112.3,31.8,Head,Off T,Open Play
114.5,44.8,Right Foot,Off T,Open Play
97.3,34.1,Left Foot,Goal,Open Play
90.2,26.0,Right Foot,Off T,Free Kick
103.0,23.6,Right Foot,Blocked,Open Play
97.8,55.8,Left Foot,Saved,Open Play
104.9,51.0,Right Foot,Saved,Open Play
97.1,53.2,Right Foot,Blocked,Free Kick
109.7,25.8,Left Foot,Blocked,Open Play
106.1,29.0,Right Foot,Off T,Open Play
99.6,20.0,Left Foot,Off T,Open Play
100.8,52.4,Left Foot,Saved,Open Play
112.9,38.6,Head,Off T,Open Play
112.7,47.4,Right Foot,Blocked,Open Play
107.0,34.4,Right Foot,Saved,Open Play
99.5,37.2,Left Foot,Blocked,Open Play
114.8,39.9,Head,Blocked,Open Play
98.4,58.9,Left Foot,Saved,Open Play
111.0,32.2,Right Foot,Blocked,Open Play
96.9,41.4,Left Foot,Blocked,Open Play
98.8,29.3,Left Foot,Blocked,Open Play
99.4,32.4,Right Foot,Blocked,Open Play
90.6,32.3,Left Foot,Off T,Free Kick
97.6,55.0,Right Foot,Off T,Open Play
98.7,35.1,Left Foot,Off T,Open Play
96.7,44.3,Left Foot,Blocked,Open Play
113.4,47.4,Right Foot,Blocked,Open Play
98.4,43.0,Right Foot,Off T,Open Play
111.6,45.3,Right Foot,Saved,Open Play
106.9,26.6,Left Foot,Off T,Open Play
107.7,47.3,Head,Saved,Open Play
106.2,57.0,Right Foot,Saved,Open Play
104.2,56.6,Left Foot,Saved,Open Play
91.7,38.7,Left Foot,Blocked,Open Play
108.0,55.8,Right Foot,Saved,Open Play
110.7,30.3,Right Foot,Blocked,Open Play
105.2,57.6,Left Foot,Off T,Open Play
98.1,24.6,Left Foot,Blocked,Open Play
97.0,36.5,Left Foot,Blocked,Open Play
102.5,39.5,Right Foot,Blocked,Open Play
106.4,50.2,Left Foot,Blocked,Open Play
108.0,40.0,Left Foot,Goal,Penalty
103.2,31.7,Left Foot,Off T,Open Play
110.0,42.4,Left Foot,Saved,Open Play
96.1,27.0,Left Foot,Blocked,Open Play
87.7,37.8,Right Foot,Off T,Open Play
106.4,39.0,Left Foot,Off T,Open Play
105.9,47.3,Head,Off T,Open Play
104.0,25.8,Left Foot,Wayward,Open Play
110.0,45.4,Left Foot,Wayward,Open Play
104.5,45.6,Left Foot,Blocked,Open Play
105.5,40.5,Right Foot,Saved,Open Play
100.6,47.0,Left Foot,Saved,Open Play
107.6,57.1,Left Foot,Blocked,Open Play
112.7,36.8,Left Foot,Wayward,Open Play
95.7,53.5,Left Foot,Off T,Open Play
101.4,50.8,Right Foot,Off T,Open Play
87.3,40.2,Left Foot,Blocked,Open Play
100.9,25.5,Right Foot,Off T,Open Play
108.1,40.1,Left Foot,Saved,Penalty
111.5,45.1,Head,Saved,Open Play
100.3,44.1,Left Foot,Off T,Open Play
112.3,35.9,Right Foot,Saved,Open Play
95.1,38.0,Right Foot,Off T,Open Play
93.3,27.9,Right Foot,Blocked,Open Play
101.7,34.7,Left Foot,Blocked,Open Play
97.0,21.2,Right Foot,Saved,Open Play
100.7,61.8,Left Foot,Blocked,Free Kick
110.8,28.6,Right Foot,Blocked,Open Play
107.1,50.1,Right Foot,Goal,Open Play
107.8,43.9,Head,Saved,Open Play
105.4,40.9,Left Foot,Goal,Open Play
110.5,25.1,Left Foot,Off T,Open Play
112.4,49.3,Right Foot,Goal,Open Play
102.3,31.9,Right Foot,Blocked,Open Play
119.0,45.8,Head,Off T,Open Play
101.5,57.8,Right Foot,Blocked,Open Play
109.8,40.7,Right Foot,Wayward,Open Play
104.5,55.5,Left Foot,Blocked,Open Play
104.9,25.1,Left Foot,Blocked,Open Play
93.6,50.2,Left Foot,Blocked,Open Play
108.8,55.9,Right Foot,Wayward,Open Play
103.8,45.0,Right Foot,Goal,Open Play
101.6,56.2,Left Foot,Off T,Open Play
113.2,47.8,Right Foot,Blocked,Open Play
96.9,51.0,Right Foot,Blocked,Open Play
97.9,37.7,Left Foot,Saved,Open Play
100.8,33.3,Left Foot,Blocked,Open Play
